State,LargestNetChange,latitudeOfLargestChange,longitudeOfLargestChange,Fill
AL,-19.24008407,32.0142,-85.7464,Red
AZ,24.41711587,33.4044,-110.87,Green
AR,-21.05314075,34.8822,-91.2153,Red
CA,36.49616368,32.64,-117.0858,Green
CO,28.12752344,37.1786,-104.4869,Green
CT,15.53542461,41.1247,-73.5475,Green
DE,7.673913043,39.7739,-75.5414,Green
FL,53.97562023,26.6928,-80.6711,Green
GA,-25.58184143,31.1903,-84.2036,Red
ID,39.13299233,42.5872,-111.7275,Green
IL,-24.90993171,37.7408,-88.5244,Red
IN,-32.12731084,39.8667,-85.1833,Red
IA,-17.60613811,41.0656,-92.7867,Red
KS,15.60869565,39.0147,-99.8722,Green
KY,-19.53787255,38.2022,-84.8825,Red
LA,-52.71483376,30.0719,-91.0278,Red
ME,-14.41048593,44.6889,-70.1567,Red
MA,22.23117972,41.6333,-70.9333,Green
MI,-15.64271347,42.58,-85.7892,Red
MN,-21.79622696,44.3006,-94.4897,Red
MS,-35.33248082,34.1864,-90.5572,Red
MO,-22.0971867,38.1869,-94.0281,Red
MT,17.59335038,46.6056,-111.9636,Green
NE,-22.56913799,41.8292,-97.45,Red
NV,-23.05133523,41.1006,-114.9736,Red
NJ,25.21577797,39.9511,-74.9697,Green
NM,43.87305669,34.7675,-106.7611,Green
NY,29.59335038,41.7681,-74.155,Green
NC,39.7428883,33.9947,-78.0078,Green
ND,-20.1202046,46.1581,-98.4,Red
OH,-27.84335664,39.8386,-81.9167,Red
OK,-28.02091728,35.585,-99.3953,Red
OR,23.95944203,42.2008,-121.7814,Green
PA,-16.4258312,41.4197,-78.7492,Red
RI,22.10613811,41.4903,-71.5431,Green
SC,-37.5440061,34.2428,-80.6564,Red
SD,-25.683858,43.3056,-96.5917,Red
TN,-26.36189258,36.075,-87.3958,Red
TX,-35.37165775,29.7192,-98.1189,Red
UT,38.23657289,40.5278,-112.2975,Green
VT,-15.53018014,43.9833,-72.45,Red
VA,-13.27365729,38.1692,-79.0844,Red
WA,19.21475912,48.3508,-120.7264,Green
WV,-32.14973262,37.5742,-81.5356,Red
WI,-21.27792293,42.7022,-87.7861,Red
WY,15.49488491,43.8567,-110.5889,Green